Fecha_Hora,Cliente_ID,Usuario_ID,Modulo,Fase,Descripcion,Modelo,Tiempo_Respuesta,Input_Tokens,Output_Tokens,Costo_Input,Costo_Output,Costo_Total_Operacion
2026-06-06 13:45:45,3,12,chatbot_sms,bienvenida,Generacion de mensaje de bienvenida con sugerencias,gemini-3-flash-preview,4.28 s,8166,116,$0.004083,$0.000348,$0.004431
2026-06-06 13:46:00,3,12,chatbot_sms,chat_decision,Flash decide si necesita DB o responde directo,gemini-3-flash-preview,4.84 s,9055,299,$0.004528,$0.000897,$0.005425
2026-06-06 13:46:12,3,12,chatbot_sms,chat_decision,Flash decide si necesita DB o responde directo,gemini-3-flash-preview,3.69 s,9345,149,$0.004672,$0.000447,$0.005119
2026-06-06 13:46:25,3,12,chatbot_sms,chat_decision,Flash decide si necesita DB o responde directo,gemini-3-flash-preview,6.04 s,9493,261,$0.004746,$0.000783,$0.005529
2026-06-06 13:46:34,3,12,chatbot_sms,chat_decision,Flash decide si necesita DB o responde directo,gemini-3-flash-preview,4.74 s,9752,255,$0.004876,$0.000765,$0.005641
2026-06-06 13:46:46,3,12,chatbot_sms,chat_decision,Flash decide si necesita DB o responde directo,gemini-3-flash-preview,3.94 s,10005,246,$0.005003,$0.000738,$0.005740
2026-06-06 13:46:55,3,12,chatbot_sms,chat_decision,Flash decide si necesita DB o responde directo,gemini-3-flash-preview,1.91 s,10247,42,$0.005123,$0.000126,$0.005249
2026-06-06 13:47:03,3,12,chatbot_sms,chat_sql_pro,Pro genera SQL para consulta de DB,gemini-3.1-pro-preview,8.55 s,10942,214,$0.005471,$0.000642,$0.006113
2026-06-06 13:47:19,3,12,chatbot_sms,chat_con_datos,Generacion de respuesta final con datos de DB,gemini-3-flash-preview,3.74 s,10669,123,$0.005334,$0.000369,$0.005704
2026-06-06 13:47:28,3,12,chatbot_sms,chat_decision,Flash decide si necesita DB o responde directo,gemini-3-flash-preview,2.24 s,10387,49,$0.005194,$0.000147,$0.005340
2026-06-06 13:47:44,3,12,chatbot_sms,chat_sql_pro,Pro genera SQL para consulta de DB,gemini-3.1-pro-preview,16.10 s,11096,243,$0.005548,$0.000729,$0.006277
2026-06-06 13:47:55,3,12,chatbot_sms,chat_con_datos,Generacion de respuesta final con datos de DB,gemini-3-flash-preview,6.15 s,10809,224,$0.005404,$0.000672,$0.006076
2026-06-06 13:48:01,3,12,chatbot_sms,chat_decision,Flash decide si necesita DB o responde directo,gemini-3-flash-preview,2.31 s,10630,52,$0.005315,$0.000156,$0.005471
2026-06-06 13:48:12,3,12,chatbot_sms,chat_sql_pro,Pro genera SQL para consulta de DB,gemini-3.1-pro-preview,10.20 s,11345,332,$0.005672,$0.000996,$0.006668
2026-06-06 13:48:28,3,12,chatbot_sms,chat_con_datos,Generacion de respuesta final con datos de DB,gemini-3-flash-preview,8.84 s,11052,293,$0.005526,$0.000879,$0.006405
2026-06-06 13:48:35,3,12,chatbot_sms,chat_decision,Flash decide si necesita DB o responde directo,gemini-3-flash-preview,2.56 s,10940,48,$0.005470,$0.000144,$0.005614
2026-06-06 13:48:51,3,12,chatbot_sms,chat_sql_pro,Pro genera SQL para consulta de DB,gemini-3.1-pro-preview,16.67 s,11649,337,$0.005824,$0.001011,$0.006835
2026-06-06 13:49:02,3,12,chatbot_sms,chat_con_datos,Generacion de respuesta final con datos de DB,gemini-3-flash-preview,9.41 s,11362,393,$0.005681,$0.001179,$0.006860
2026-06-06 14:14:45,3,0,insights,10_4_sql,Generacion SQL seguridad y alertas,gemini-3.1-pro-preview,20.30 s,2010,770,$0.001005,$0.002310,$0.003315
2026-06-06 14:15:03,3,0,insights,10_4_insights,Generacion insights seguridad y alertas,gemini-3-flash-preview,11.35 s,2749,1088,$0.001375,$0.003264,$0.004639
